#   pt_bb-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
            935  0.00082005906   0.0013582605  -2.544689e-05   0.0017581076   0.0010510433   0.0012205651
            940   0.0050674606   0.0023217872   0.0037401772   0.0017469793   0.0070733465   0.0032015771
            945   0.0028142519   0.0016781889   0.0020407086   0.0011951477   0.0040075984   0.0024714331
            950   0.0018812796      0.0021422   0.0016439174   0.0013170898   0.0020827362   0.0036893527
            955   0.0021273818   0.0015309487   0.0016526181   0.0011801469   0.0027772048   0.0020300617
            960   0.0040212402   0.0020419122   0.0032356693    0.001632153   0.0049849802   0.0025689161
            965              0              0              0              0              0              0
            970   0.0022971457   0.0013261914   0.0016443701  0.00095023571   0.0032907087   0.0019024945
            975  0.00099716535  0.00099711545  0.00081624016  0.00081619935   0.0012086024   0.0012085419
            980    0.003073307   0.0015366038     0.00224313   0.0011340681   0.0043103346   0.0022007153
            985   0.0015548622    0.001099524   0.0012643898  0.00090443346   0.0018838583   0.0013589448
            990  0.00076568897  0.00076565068  0.00051082679  0.00051080124   0.0011840157   0.0011839565
            995   0.0015448031   0.0015380576   0.0012920276   0.0011017187   0.0017506693   0.0022439568
           1000   0.0015448031   0.0015380576   0.0012920276   0.0011017187   0.0017506693   0.0022439568
